abuojėti, abuojėja, abuojėjo
adinėti, adinėja, adinėjo
akėti, akėja, akėjo
aktyvėti, aktyvėja, aktyvėjo
artėti, artėja, artėjo
auklėti, áuklėja, áuklėjo
baisėti, baisėja, baisėjo
baltėti, baltėja, baltėjo
blogėti, blogėja, blogėjo
čiaudėti, čiáudėja, čiáudėjo
dailėti, dailėja, dailėjo
daugėti, daugėja, daugėjo
dėmėti, dėmėja, dėmėjo
didėti, didėja, didėjo
dirbinėti, dirbinėja, dirbinėjo
dirstelėti, dirstelėja, dìrstelėjo
dykinėti, dykinėja, dykinėjo
eidinėti, eidinėja, eidinėjo
garsėti, garsėja, garsėjo
gausėti, gausėja, gausėjo
gelbėti, gélbėja, gélbėjo
geltonėti, geltonėja, geltonėjo
genėti, genėja, genėjo
gerėti, gerėja, gerėjo
giedrėti, giedrėja, giedrėjo
gilėti, gilėja, gilėjo
glamonėti, glamonėja, glamonėjo
gnybtelėti, gnybtelėja, gnýbtelėjo
grabinėti, grabinėja, grabinėjo
gražėti, gražėja, gražėjo
griaudėti, griaudėja, griaudėjo
grybštelėti, grybštelėja, grýbštelėjo
gudrėti, gudrėja, gudrėjo
gyvėti, gyvėja, gyvėjo
ilgėti, ilgėja, ilgėjo
jodinėti, jodinėja, jodinėjo
juodėti, juodėja, juodėjo
kasinėti, kasinėja, kasinėjo
kaulėti, kaulėja, kaulėjo
kerpėti, kerpėja, kerpėjo
kilnėti, kilnėja, kilnėjo
klausinėti, klausinėja, klausinėjo
kliustelėti, kliustelėja, kliustelėjo
kosėti, kósėja, kósėjo
krūptelėti, krūptelėja, krūptelėjo
laisvėti, laisvėja, laisvėjo
lengvėti, lengvėja, lengvėjo
leptelėti, leptelėja, lèptelėjo
lesinėti, lesinėja, lesinėjo
linksmėti, linksmėja, linksmėjo
linktelėti, lìnktelėja, lìnktelėjo
lukterėti, lukterėja, lùkterėjo
lyžtelėti, lýžtelėja, lýžtelėjo
malonėti, malonėja, malonėjo
mažėti, mažėja, mažėjo
mėlynėti, mėlynėja, mėlynėjo
menkėti, menkėja, menkėjo
mirktelėti, mirktelėja, mìrktelėjo
mušinėti, mušinėja, mušinėjo
nagrinėti, nagrinėja, nagrinėjo
pirkinėti, pirkinėja, pirkinėjo
pirstelėti, pirstelėja, pirstelėjo
pliumptelėti, pliumptelėja, pliùmptelėjo
plonėti, plonėja, plonėjo
pokštelėti, pokštelėja, pókštelėjo
populiarėti, populiarėja, populiarėjo
puldinėti, puldinėja, puldinėjo
puoselėti, púoselėja, púoselėjo
rašinėti, rašinėja, rašinėjo
raudonėti, raudonėja, raudonėjo
raukšlėti, raukšlėja, raukšlėjo
ryškėti, ryškėja, ryškėjo
sakinėti, sakinėja, sakinėjo
sergėti, sérgėja, sérgėjo
siaurėti, siaurėja, siaurėjo
siautėti, siáutėja, siáutėjo
silpnėti, silpnėja, silpnėjo
siūbtelėti, siūbtelėja, siūbtelėjo
siuvinėti, siuvinėja, siuvinėjo
skutinėti, skutinėja, skutinėjo
slidinėti, slidinėja, slidinėjo
slystelėti, slystelėja, slýstelėjo
šnektelėti, šnektelėja, šnèktelėjo
šnipinėti, šnipinėja, šnipinėjo
šniukštinėti, šniukštelėja, šniùkštelėjo
šokinėti, šokinėja, šokinėjo
spustelėti, spustelėja, spùstelėjo
stambėti, stambėja, stambėjo
stiprėti, stiprėja, stiprėjo
stodinėti, stodinėja, stodinėjo
storėti, storėja, storėjo
stovinėti, stovinėja, stovinėjo
strikinėti, strikinėja, strikinėjo
strykinėti, strykinėja, strykinėjo
stryktelėti, stryktelėja, strýktelėjo
stumtelėti, stumtelėja, stùmtelėjo
šviesėti, šviesėja, šviesėjo
švilptelėti, švilptelėja, švìlptelėjo
šyptelėti, šýptelėja, šýptelėjo
tamsėti, tamsėja, tamsėjo
tikrėti, tikrėja, tikrėjo
timptelėti, tìmptelėja, tìmptelėjo
tobulėti, tobulėja, tobulėjo
trakštelėti, trakštelėja, tràkštelėjo
trumpėti, trumpėja, trumpėjo
tuštėti, tuštėja, tuštėjo
tvirtėti, tvirtėja, tvirtėjo
tvykstelėti, tvykstelėja, tvýkstelėjo
tyrinėti, tyrinėja, tyrinėjo
vaikštinėti, vaikštinėja, vaikštinėjo
varinėti, varinėja, varinėjo
važinėti, važinėja, važinėjo
veizėti, veizėja, veizėjo
vertėti, vertėja, vertėjo
vyptelėti, vyptelėja, výptelėjo
žalėti, žalėja, žalėjo
žemėti, žemėja, žemėjo
žioplinėti, žioplinėja, žioplinėjo
žiūrinėti, žiūrinėja, žiūrinėjo
žlegtelėti, žiegtelėja, žiegtelėjo
žvilgtelėti, žvìlgtelėja, žvìlgtelėjo
